Channel Name,Channel Link,Subscribers,Average Daily Views
"온케어닥터 이찬용: 암.자율신경.통증","https://vling.net/channel/UCrbB5oQTj3o8zkUUQMAOwHg","83000","39116"
"제니원장 요가수련과 철학","https://vling.net/channel/UCoNhtvmUg9TXjaSm9PHiRAg","49700","1588"
"정희원의 저속노화","https://vling.net/channel/UCxRSQfYmcVEI5jP3sOwnlpw","507000","3935"
"자율신경한의사 박원장","https://vling.net/channel/UCLZbDbQXnPlTVIqp9Nf7TdQ","59500","23410"
"내조왕","https://vling.net/channel/UCL6doUTgz_nSC05J5DBMmFQ","23300","79"
"60세 이후 건강","https://vling.net/channel/UC4NBaUA6_-v7Ry4qFVkp5DQ","10800","69"
"지식라디오","https://vling.net/channel/UCOGa-Jq_2wQmcefhlrztCJg","11200","647"
"맨날청춘","https://vling.net/channel/UC0T7zY8PkU80wPYzN-50jFw","22600","1762"
"백세의지혜","https://vling.net/channel/UC0UzIcP-JjKBKZe22Nv_OCw","14300","2763"
"닥터홍선생 (OS Dr.Hong)","https://vling.net/channel/UCv4rzc34JS1pl3CA9RvqXcg","223000","6264"
"우리동네 유방이야기, 우유티비","https://vling.net/channel/UC8nMtNQnCoyo2T4-nz0iXZg","27200","4661"
"아름약사","https://vling.net/channel/UCsF_qb0oB4E3RRZsNtBMbpw","21600","7578"
"박미경TV","https://vling.net/channel/UCqkpNJhqVNLECwRQYSiNFCg","141000","7440"
"약드라이브","https://vling.net/channel/UCCGR6u27kI44_VWM1FJa7mw","11200","2712"
"헬스조선명의","https://vling.net/channel/UCtuElSetSJ8xdK2cSebqyzQ","56300","15489"
"파워 POWER","https://vling.net/channel/UC7656hu-O-1r8XiXU0e68ew","26000","5341"
"닥터 표TV Dr Pyo TV","https://vling.net/channel/UCgFupN0s5eAxvvgAFgvriRA","59900","1931"
"당뇨 극복하기 : 혈당연구소","https://vling.net/channel/UCF3foF-MPoSafImUPvN1etA","28300","9135"
"명상하는작은언니","https://vling.net/channel/UCMHZrwm4m_eKiGLfPFtY04w","11000","850"
"손승도 힐링 TV","https://vling.net/channel/UCLaq_IZgG_w6emiu9FjSgWA","20700","83"
"남성 파워 건강TV","https://vling.net/channel/UCCZtYfsHp_zsM58mMmfWoyA","45900","86"
"KB라이프생명","https://vling.net/channel/UCrKJwnv6-psXk6AMDg5zX7A","21700","4536"
"몸짱 약사 민재원","https://vling.net/channel/UCukEBqgp_pY3VmyWV_MPxXg","94800","14281"
"곱슬전문 필헤어테크","https://vling.net/channel/UCSaqhjR-MsRqblP-tIaRWDg","20000","791"
"박치열의 코멘터리","https://vling.net/channel/UCS1EqlF3NbRsn1rfWL_7_qA","19900","7330"
"Table tennis 빼롱요롱TV","https://vling.net/channel/UClEtrURnmlkh05XYsAroz1Q","61800","5114"
"명지병원-MYONGJI HOSPITAL","https://vling.net/channel/UCIRVUrwZPuVL05S9uBOpx8g","35500","1488"
"노후세계TV","https://vling.net/channel/UCq91_PZCktLCzztCGCEF4pQ","52800","89"
"코비와 나","https://vling.net/channel/UCa1e1gqcJc69XD98HmGcmBQ","20300","14"
"동네 트레이너 문씨 (메꿀다이어트짐 피트니스)","https://vling.net/channel/UClGcmgF68662O9bAmKgi5fA","10400","615"
"굿리치","https://vling.net/channel/UCOywTwTenIqiE3MqlOJQ9Fg","33700","14485"
"필라테스학교_PILATES SCHULE","https://vling.net/channel/UCegPcx8b176ex2LX3oZRKYw","22500","318"
"알약TV-알통키우는약사","https://vling.net/channel/UCPAz1w9i2ajr4935hYNy8bA","31300","15519"
"연치코치","https://vling.net/channel/UCiSIIrRHrNv6muHyNBG7JIQ","34100","2080"
"구해줘암선생","https://vling.net/channel/UCZNP0D2Gr4g4weiWB5ZT_Wg","13100","9731"
"SMART Surgeries_분당서울대학교병원","https://vling.net/channel/UChSgAmSNGBsD-anFLLgaqtw","18900","262"
"지혜백서","https://vling.net/channel/UCTWQLX_se9Go8SJFGQ0xNKQ","158000","464"
"메이트언니들matewedding","https://vling.net/channel/UCMtAX_8rOh7b81TBWaWFEsg","11500","1131"
"am0950 아홉시오십분","https://vling.net/channel/UCcTsc3kxnGnq0FwFlFcNA4w","31900","3702"
"김가은 한의사의 오늘치유","https://vling.net/channel/UC4Qv1IkLa2QgAaDeILgy47A","18700","5021"
"ほのぼのラジオ","https://vling.net/channel/UCoEvqxj4MXmG71XAbWyAkWQ","66900","27018"
"경희신맥한의원","https://vling.net/channel/UCrJG7sgkVfICn-3_MeXiaRA","21500","4461"
"Dr. Robert의 건강 비결","https://vling.net/channel/UCKXeTKG2IZnB0CDx7REd9aQ","11200","1817"
"성선썰","https://vling.net/channel/UC7GZk0oofmBg3CtlFKKeQQg","39600","3647"
"대도농원","https://vling.net/channel/UCrib-_N4qDksH0s3gsJj9cw","12300","1193"
"박광범의 임플란트 수술방","https://vling.net/channel/UC4Nt63aVUVGDwcFMlMOxOyg","13700","550"
"닥터 살루스","https://vling.net/channel/UCIJXye7VhSVT-7agMoZdMpQ","15800","1129"
"부산365mc - 지방이TV","https://vling.net/channel/UCN1A0pT9YtzTQBNPE6KxC8w","17200","7340"
"유소이 Soi makeup","https://vling.net/channel/UCo6ozRtUbiwYaPnf5WIBNNg","14800","551"
"홈트닥터","https://vling.net/channel/UCaNATT80YRUcuCZ3Ln6awaw","19300","501"
"학교체육진흥회","https://vling.net/channel/UCfnaxgFfqsLtv5piDLs12GQ","18200","4973"
"웰빙라이프TV","https://vling.net/channel/UCrOaUvaWKQPnaoUfJqI8Xqw","26200","992"
"옥구","https://vling.net/channel/UCv3MuIE41RrT2m3PXi4kKFw","21200","1458"
"제일리핏케어","https://vling.net/channel/UCf_rpPJVcXa9xJ32s7Q4UEQ","27500","42969"
"Master Healer 성영주","https://vling.net/channel/UCx9owdsdbalU0ejMN0jDbkg","14000","3449"
"헬저씨","https://vling.net/channel/UCSA1fvrRfwWAgN-2iuGlQRQ","17200","2559"
"건국대학교병원","https://vling.net/channel/UCO73y3Xo_W4DB_pUImiYheA","48600","2042"
"참하지외과 CHARM VEIN CENTER","https://vling.net/channel/UCiHlyAgWpFxsedbIkTLtV1A","58900","6332"
"KK건강TV","https://vling.net/channel/UCegFIx1LTAYGAHvvGq8UGng","238000","1175"
"마음챙김TV (최현성)","https://vling.net/channel/UCe_u11uVzBTf76xw_quR1cA","19100","182922"
"정세연의 라이프연구소","https://vling.net/channel/UCj8zZ1a8Lqtj4wY2bHbcIaQ","1110000","33169"
"Healing Studio","https://vling.net/channel/UCbSfuDSl9YPBjubukvchZfQ","38500","7937"
"현실의 코덱스","https://vling.net/channel/UC0Ajz54XeAYdF8MlKLkIJqQ","11700","5643"
"꾸러기 건강닥터","https://vling.net/channel/UC897htqSWjwPSgfCaVmh_XA","282000","7869"
"Doctalk","https://vling.net/channel/UCaCYiweMo3xsNtTRW38icKA","15000","3387"
"별씽튜브","https://vling.net/channel/UC3vuKYYunHhPa9gq9kBWwsQ","17200","2135"
"JM WORKOUT : KIM JUNG MIN 김정민","https://vling.net/channel/UCYajbktFJOUlNeu2cIfGxGw","17900","342"
"50대채널","https://vling.net/channel/UCM5fU-eTFFHkLopBY5tbe1A","76800","7113"
"묘한의사","https://vling.net/channel/UCfoYhXOvlYcQ77DFjoKVShw","43700","2203"
"ほのぼのラジオ","https://vling.net/channel/UCoEvqxj4MXmG71XAbWyAkWQ","66900","27018"
"김가은 한의사의 오늘치유","https://vling.net/channel/UC4Qv1IkLa2QgAaDeILgy47A","18700","5021"
"경희신맥한의원","https://vling.net/channel/UCrJG7sgkVfICn-3_MeXiaRA","21500","4461"
"대도농원","https://vling.net/channel/UCrib-_N4qDksH0s3gsJj9cw","12300","1193"
"원더풀 마인드","https://vling.net/channel/UC_tSje-LM1-3KBrpnRCx-uA","22300","1164"
"다이어트독학","https://vling.net/channel/UCYNbAXBuzpf1-EzWxZpxVkw","31600","3894"
"오쿨리TV","https://vling.net/channel/UC9fmtKeuHczIsFisgYEnW-w","11800","497"
"Go민정이","https://vling.net/channel/UCkIEhLQ_Qklj_5kI-2CVtLg","52700","3981"
"서울아산병원","https://vling.net/channel/UC08tP3KIyCK9vYNZm5qQuiw","386000","26365"
"남의철 DEEP & HIGH SPORTS","https://vling.net/channel/UChH-OfsKn49iR5NiFmKqlSg","12200","521"
"DN.Beauty Spanish","https://vling.net/channel/UC6djDPQBnPKgQfabG1AWvVw","170000","14101"
"운동발전소","https://vling.net/channel/UCKcoIgqVJfhkM90ouK8TFaw","16700","315"
"습관 교육자 호남두","https://vling.net/channel/UCiUGAEAdFdVklbAuNr4pBjA","100000","15477"
"치아재TV","https://vling.net/channel/UCq26t4NQzTUlWJ8CrqHEglQ","16000","11885"
"이건민의 풍성한 이야기","https://vling.net/channel/UCMYFfUu0IHJTF7J4hE-1lGg","91300","25132"
"롯데홈쇼핑 롯튜브 ","https://vling.net/channel/UCwhegDfCyzBBKZnJgs6ggqw","101000","25115"
"에이핏 afit","https://vling.net/channel/UCRGZCFuFCwp2D_YKByrqRfw","859000","42456"
"닥터 표TV Dr Pyo TV","https://vling.net/channel/UCgFupN0s5eAxvvgAFgvriRA","59900","1931"
"약드라이브","https://vling.net/channel/UCCGR6u27kI44_VWM1FJa7mw","11200","2712"
"하다","https://vling.net/channel/UClLrYUwV5coRpu-yLJ_E8uw","13800","269"
"권은구_Kwon eun goo","https://vling.net/channel/UCv8PoI4yS3lLb5P-tGozVRw","15700","126"
"경희의료원","https://vling.net/channel/UCSPd120sfHaijEkMmDNVdKQ","28000","5039"
"동영박사","https://vling.net/channel/UCXPiqdKeaCd1K82ZGg3ccVw","23900","3797"
"책도리TV","https://vling.net/channel/UCbaXu_mTn6ya_pabSkx7xxw","507000","8137"
"닥터 정직왕","https://vling.net/channel/UCK7EFcwENTp8vu42PVdRXGQ","11600","6570"
"맞춤주치의, 닥터JM","https://vling.net/channel/UCnytxIobBmUuWf1kf8GiX4g","13100","38135"
"행복한의사 김정훈의 건강이야기","https://vling.net/channel/UCaPfNqobWHUC9fQTD1MShdg","67100","1793"
"연세신통TV","https://vling.net/channel/UCDp34bAXaJbo7PT1igMMQKg","298000","11534"
"잠백이","https://vling.net/channel/UCT69ogfZc8Io6NiBFwCOZPw","49800","7001"
"빅마우스TV","https://vling.net/channel/UCbMHdUkgLjutpY5tQYP40dw","96000","113749"
"메디맵","https://vling.net/channel/UC_IZTQQ7ScSP9oKbrDb3pMw","13100","517"
"더끌림산부인과","https://vling.net/channel/UCYPiwyWGi-jbkpBAyQnYZSw","123000","11542"
"지혜건강소","https://vling.net/channel/UCYw0_UhBmb_zpu6BxXN8D1A","53200","230"
"민이네다육","https://vling.net/channel/UCpvPF7Nm6dpEmi4WE4j72kQ","11500","3285"
"안과언니","https://vling.net/channel/UCP7OU6koPGdRgk7mCMv5dOQ","68700","13848"
"건강박사","https://vling.net/channel/UC2-gb53qXD1LgyRq0K36l8A","178000","70144"
"JM WORKOUT : KIM JUNG MIN 김정민","https://vling.net/channel/UCYajbktFJOUlNeu2cIfGxGw","17900","342"
"현실의 코덱스","https://vling.net/channel/UC0Ajz54XeAYdF8MlKLkIJqQ","11700","5643"
"시니어생활수첩","https://vling.net/channel/UCupLKcszhhKwxF4rOcnlWYw","36600","1338"
"제일리핏케어","https://vling.net/channel/UCf_rpPJVcXa9xJ32s7Q4UEQ","27500","42969"
"Master Healer 성영주","https://vling.net/channel/UCx9owdsdbalU0ejMN0jDbkg","14000","3449"
"암알지TV방송","https://vling.net/channel/UCzr7QSvnOZ4yPG9GK-8_tUQ","24100","2912"
"퀴즈의 제왕","https://vling.net/channel/UCAfJcM064jZBOSdqnNI73xw","13100","10431"
"Healing Studio","https://vling.net/channel/UCbSfuDSl9YPBjubukvchZfQ","38500","7937"
"에너지힐링 Energy Healing","https://vling.net/channel/UC2qcq4kqvbbdHIoi5dEm-Eg","79900","23147"
"이지약사tv","https://vling.net/channel/UCCMFTDGarjgZLc1DlIbbvRg","15100","3440"
"용닥터","https://vling.net/channel/UCaeONHcrE9ie2ZPdGVv-Yyg","176000","13351"
"종부원리 Jongboo principle","https://vling.net/channel/UC7DmHPJiGzVxOYJt0qy7sUw","49800","15509"
"한국보훈복지의료공단","https://vling.net/channel/UCzU1v5rL8paTs1herRUgOTg","19200","5073"
"에너지힐링 Energy Healing","https://vling.net/channel/UC2qcq4kqvbbdHIoi5dEm-Eg","79900","23147"
"이지약사tv","https://vling.net/channel/UCCMFTDGarjgZLc1DlIbbvRg","15100","3440"
"용닥터","https://vling.net/channel/UCaeONHcrE9ie2ZPdGVv-Yyg","176000","13351"
"종부원리 Jongboo principle","https://vling.net/channel/UC7DmHPJiGzVxOYJt0qy7sUw","49800","15509"
"한국보훈복지의료공단","https://vling.net/channel/UCzU1v5rL8paTs1herRUgOTg","19200","5073"
"나근사설","https://vling.net/channel/UCFIWQ9OqK7FxawPFZEVnQog","55800","48"
"지혜와성실","https://vling.net/channel/UCqUqYA4BKYcLFonQaUjNULQ","32700","291"
"건희로운날들","https://vling.net/channel/UCl6FnZ-V6QJ0Amuwjydmvxg","168000","225"
"초딩입맛자덕","https://vling.net/channel/UCg5uly-aCRfD6N7UgaOV3PQ","134000","4955"
"SOOD_ Edward Park","https://vling.net/channel/UCEcL8vvX2V0z2nM8oXQVIeQ","36700","2633"
"힐링트리뮤직 Healing Tree Music & Sounds","https://vling.net/channel/UC1RG7m8FwFKgB3IpfN3ccew","1590000","170635"
"제우스남성의원 원장 이석영","https://vling.net/channel/UCPULZ1uKpIlx0228uMNFOEA","18700","1344"
"일동제약 그룹","https://vling.net/channel/UCptOgDFSSKYm-bHl7ijd8Lw","14700","51484"
"신경과전문의 박재현","https://vling.net/channel/UCFhliquzU-5I83gMrb-HIVw","87900","12882"
"김경철의 웰케어: 잘먹고, 잘자기","https://vling.net/channel/UC-4yGit6ge_bXpyTqkCBxhA","49000","3254"
"다시 시작하는 재활(Restart Rehabilitation) ","https://vling.net/channel/UCVtnpN5cwtuYF-1EP72SsPw","23800","2530"
"오상신경외과의원","https://vling.net/channel/UCBe0N2MoWhVKHKEoYPl8XvQ","204000","29784"
"강하나 스트레칭_stretching","https://vling.net/channel/UCxHcczukcG21up2MBe8yP_Q","782000","19243"
"요리하는다이어터","https://vling.net/channel/UCUsoowBBnGAmhl0XBaFuQWA","470000","6671"
"행복한 100세 시대 KOREA","https://vling.net/channel/UCznIKH9WdBxpOCjFJ7rdMPA","29900","4054"
"근성장훈련소 MuscleCamp","https://vling.net/channel/UCO32LLnrAUlLuT-0KP4aP3A","12900","481"
"Curistory","https://vling.net/channel/UCVSWDPRFLZZfvNG-KKk3LHQ","49800","4820"
"우주기","https://vling.net/channel/UCMpTteg2C4jYAhoSzFeEtZA","68200","1287"
"하나이비인후과병원","https://vling.net/channel/UCCOty33v-EPEnShT3975ZyA","13000","1440"
"비앤빛TV","https://vling.net/channel/UCHIH-Fu_7HLjE3SHkirGlig","29900","322"
"서울대학교병원 강남센터","https://vling.net/channel/UC7b852QbNlkegn8GdSkYWZw","153000","2346"
"이재성 박사의 식탁보감","https://vling.net/channel/UCUIDRva6N0c3I10d9QOqefw","1280000","28772"
"김주환의 내면소통","https://vling.net/channel/UCYNnQhFGE-EP0HrWRxMGUaw","358000","31020"
"채널당뇨왕","https://vling.net/channel/UCfTj5cD0quVuTpodSZUF73A","14100","2010"
"Yeji Psychology","https://vling.net/channel/UCVtmrt8prEpmjpy6Y7xSwGg","39500","1922"
"이음여성한의원 김우성 원장","https://vling.net/channel/UC-6BfHzSG1_ZfcQZn5PeoMg","136000","21578"
"노트성형외과","https://vling.net/channel/UC2OIyb2serotqDyEzQYyCtA","10300","28856"
"Elsa-log","https://vling.net/channel/UC2Kxg0lVzKB2-N7tXAVQhrw","36300","2004"
"요가강사김선아YOGA_SUNA","https://vling.net/channel/UC1UYZjFfhN9CVdOfRBlGsVA","82400","8848"
"두부다비 Dubu-Dabi","https://vling.net/channel/UC0yB3f_3UxzoCf-X36KhQ9Q","11100","1057"
"산개","https://vling.net/channel/UC1aqaZ-BRf5bjZzXs3enCvg","19100","1198"
"Practical Pain Management with Dr. Lee","https://vling.net/channel/UC1vLAG4_4x45e4BtXBZoIWg","14200","485"
"촛불배정규, 재은심리상담센터","https://vling.net/channel/UC6O_TSHwRzE8WdjsOC5jfJw","12700","1471"
"쉬운건강 (구 안지현TV) Health","https://vling.net/channel/UC3afH7DW6Pb4wEHdlNlOKQw","39800","3344"
"권원장 근육관리 [치유가]","https://vling.net/channel/UCDjkAMGMzaYqmDuQUTD-vbQ","62800","6075"
"찐한의사","https://vling.net/channel/UCQt6bki_yeKaMS4hLm6YWlA","120000","28047"
"리틀약사","https://vling.net/channel/UC3iSLVH0MxHfwO69oHKpvog","553000","25921"
"JJ Linedance제이제이","https://vling.net/channel/UCeWNThqBvZOJi69eZkos2fQ","11600","2627"
"박민선 원장의 콩팥튜브","https://vling.net/channel/UCTRZZvftT1IuVyry1V9E1-A","10000","2096"
"이학민의 가슴 따뜻한 이야기","https://vling.net/channel/UCUnV1FVWY3u92tEYGqy17qA","216000","38146"
"클레어채 ClaireChai","https://vling.net/channel/UCsv1hWoDQNBkTnAJOQacXbw","81200","2577"
"건강되찾기 프로젝트 | EMS 근력PT","https://vling.net/channel/UCX-xku_pieGjA-PAxP02BIA","269000","53828"
"치아살리기 최용훈원장","https://vling.net/channel/UC4kdPomQaD-9gz0NynY_ddw","13600","631"
"척추관절 바른TV-연세바른병원","https://vling.net/channel/UCWk_4bcnHBfO4V2syOOgo5g","14000","1951"
"카이안과","https://vling.net/channel/UCZ76XVvVdIMLuoMmgilklzQ","22600","676"
"상쾌한의사 김성찬 ","https://vling.net/channel/UC9bhIPpJZFJhMh7e7BP7l9w","28400","10970"
"시니어건강회관2","https://vling.net/channel/UC34-Orqw21kiUkwR-v3scaw","12000","3019"
"ADHD 대표채널","https://vling.net/channel/UCi3bGxt2tQoGaTH2Wmbh81w","14300","10662"
"피지컬에셋","https://vling.net/channel/UCKgnUtkVL8o9U2h3451sBVA","166000","12585"
"멘탈탄탄 | 정신과의사의 멘탈 관리 채널 ","https://vling.net/channel/UCsZTB_r7ffbXIcnZmav2AFg","47700","6135"
"여의사의 산부인과 이야기.","https://vling.net/channel/UC-jDMqzWRJj16_HHyi4OX1Q","153000","7705"
"물리치료사.PT재석","https://vling.net/channel/UCsyhk1jx2eeafzMSYhQc9Mg","531000","3172"
"아침동산","https://vling.net/channel/UCuZQ7lJnqe-LBCVjy9OYBKw","10200","490"
"Tempo:rest","https://vling.net/channel/UCSBBghDcPUpWl7ietzdL6EA","14800","6553"
"Relax Gently","https://vling.net/channel/UCHLxiySp_bOSL0TsUcPV0Iw","180000","15098"
"남녀의학연구소","https://vling.net/channel/UC9Bb-XcWooi5yVCng46xaZg","10000","5977"
"힐링루미나 Healing Lumina","https://vling.net/channel/UCY-OANuBvks2lBMgAfZgh6g","39000","23306"
"뇌가 편안해지는 시간","https://vling.net/channel/UC28xZyNPM9109MTC-QZ9etA","11800","3155"
"지혜백세","https://vling.net/channel/UCi3H9NCIKQ4IzcLBTGyD_1w","61500","18484"
"든든라디오","https://vling.net/channel/UC6dzCW8IGCSpRRP9lpBn_Ag","36000","3747"
"하루 당뇨식사","https://vling.net/channel/UCZqZNpYCBkjS3b59YW27BkA","64600","686"
"1분팁","https://vling.net/channel/UCH4Recm0sHhd3bEc_r54YmA","19300","1229"
"Key Meditation","https://vling.net/channel/UCfulSi1BlEu5wETySe-EiHQ","19800","6012"
"내과전문의 닥터케이 Dr.K","https://vling.net/channel/UC9p63MYZE5nUKmr2RS0fNwA","374000","7890"
"Likesweetmango - Beautiful & Powerful Life","https://vling.net/channel/UC4Z0SLdvRc7s6oVO0ZpuQgw","86800","1788"
"시니어 지혜","https://vling.net/channel/UCZbGKOabnuCDGgfNlKqxm0g","17000","14177"
"한국인의 건강","https://vling.net/channel/UCgXALihpISmnxe7FDptwvlw","38200","6038"
"백세의 비밀","https://vling.net/channel/UCNtfFNmmBnjypX-XnDHeSjw","20700","1876"
"연세재활운동센터","https://vling.net/channel/UCdThhoXBOMyTLbaKz-tFgSQ","18500","2170"
"박서희 정신과의사","https://vling.net/channel/UCfW5yhlUy-DeU5tPym8xDNQ","95500","4378"
"박경숙 원장의 온통보감","https://vling.net/channel/UCKCLI9BYUThLn6MY23haVjA","37200","434"
"은빛동행 • 야담라디오","https://vling.net/channel/UCOdIE71pG1agFdj2sUBKWkQ","14200","2"
"투덜거리는 노년","https://vling.net/channel/UCGP--wfmNmih4GgyslHGwmQ","38900","573"
"백세건강채널","https://vling.net/channel/UCyb1ZjcHhqZm4_XDMAFB4Hw","51000","494"
"건강박사의 장수노트","https://vling.net/channel/UCNvZm2nE9jzGmJwHC7ZnjpQ","90400","46760"
"근거중심이약사","https://vling.net/channel/UC_1FUQM1JpDniNWHP_7ua1A","18500","4195"
"키다리형","https://vling.net/channel/UChWJavW1PbvAkPTcB06EeIg","508000","117861"
"국민건강보험","https://vling.net/channel/UC7tsTpx4Ra-oJrjIb9ItBUA","96600","163479"
"당뇨TV#","https://vling.net/channel/UCXfilB-iiwh3jlew8eVzKRg","62100","1067"
"시니어빵빵","https://vling.net/channel/UCzgS8oh8QTjVwMbIPg4DKsQ","68200","17250"
"SNPE TV","https://vling.net/channel/UCyXuz3cs51oRt5i56MUQ7ow","66700","1048"
"지혜로운 당신 TV","https://vling.net/channel/UC2WzpFRsIJcN1drQdIbczQw","17600","383"
"JUNGDAYEON","https://vling.net/channel/UCUyTqfwiT2sRpjxbfPyQF7g","349000","9098"
"YJ Care Clinic","https://vling.net/channel/UCRY4kdkYSPtsy6to4FEAaog","14900","602"
"천약사의건강과 약이야기","https://vling.net/channel/UC4KS40p1OWvyA5kRNroC4Bg","23600","412"
"네츄럴보디빌딩학과","https://vling.net/channel/UCHQj5T2MD6vD4K6Zc3We6pg","19700","428"
"이상구박사의 뉴스타트강의","https://vling.net/channel/UCcf-zuaFCeROvAATf5UI0uA","20200","1573"
"인생이시트콤_고구마 VLOG","https://vling.net/channel/UCHYv07UtJkjSu3qDoo2he_Q","84900","9120"
"모멘트핏 록코치","https://vling.net/channel/UChku6cgDNkiIQWlyi1TgA8g","1150000","96804"
"우리들병원TV","https://vling.net/channel/UC2ATsiBGQuX_ON58mu3utWw","93100","17553"
"اعمال يدويه وافكار حلوه كتير","https://vling.net/channel/UCAQFDZGmQQeZS4_2q5GZR9Q","320000","63"
"약사남편","https://vling.net/channel/UCfrI61io4dNFArWf8DGOaDw","88900","974"
" 건강한tv","https://vling.net/channel/UCtqwpBL2jE66ZpcWylbv08w","13300","267"
"실버라디오_노후건강_시니어정보_노후지혜","https://vling.net/channel/UC7YpVJjhPta4sJcvGUutM_g","329000","20850"
"보담티비","https://vling.net/channel/UC66diRcDsDtXqFffHD3zcVQ","10100","188"
"정형외과  전문의  선지호","https://vling.net/channel/UC6vLOP7CPkAdfA9qD9ViqiA","30000","2549"
"은빛동행 • 야담라디오","https://vling.net/channel/UCOdIE71pG1agFdj2sUBKWkQ","14200","2"
"투덜거리는 노년","https://vling.net/channel/UCGP--wfmNmih4GgyslHGwmQ","38900","573"
"백세건강채널","https://vling.net/channel/UCyb1ZjcHhqZm4_XDMAFB4Hw","51000","494"
"인생이시트콤_고구마 VLOG","https://vling.net/channel/UCHYv07UtJkjSu3qDoo2he_Q","84900","9120"
"YJ Care Clinic","https://vling.net/channel/UCRY4kdkYSPtsy6to4FEAaog","14900","602"
"동아쏘시오그룹","https://vling.net/channel/UCjvjF9hnjwXUgig5EZxADyQ","12400","847"
"JUNGDAYEON","https://vling.net/channel/UCUyTqfwiT2sRpjxbfPyQF7g","349000","9098"
"Dentiumworld","https://vling.net/channel/UCvKSX42Fxb9t48Td8neg4YA","27900","470"
"서울의료센터","https://vling.net/channel/UCBuNljfs8MtTpcRlG8YvD2Q","10400","642"
"헝그리스포츠","https://vling.net/channel/UCE9sh6noNA7vBPSWPA4VFZg","45200","13120"
"다이어터윤","https://vling.net/channel/UCjf97H7AtbVfrX8-35Z302Q","12500","511"
"바른의사 백승우","https://vling.net/channel/UCDy8IPYmRu6WbDUyAs1ffyg","62500","7576"
"임현우의 이어앤썰","https://vling.net/channel/UC-vK7SFuT0ZI4t4e9T7SOrw","31000","3263"
"좋은균 연구소","https://vling.net/channel/UCgDOVDGCIxLgrG34_rrjMjQ","11400","1071"
