channel_name,Channel Link,channel_id,Subscribers,Average Daily Views
정치오락실,https://vling.net/channel/UC9a0BE4Txo1u_nKDa1nmXMA,UC9a0BE4Txo1u_nKDa1nmXMA,126000,1489
예술교회,https://vling.net/channel/UCiCpaaeB5xTn3x2sMh5gmlQ,UCiCpaaeB5xTn3x2sMh5gmlQ,11700,6910
임오경tv,https://vling.net/channel/UC4zn1ypqQL0TH0xbsH9ycKQ,UC4zn1ypqQL0TH0xbsH9ycKQ,10600,58
상상프리,https://vling.net/channel/UCWJTlUFmdbISixxc6ZGAOHQ,UCWJTlUFmdbISixxc6ZGAOHQ,40600,22
연희신궁,https://vling.net/channel/UCkSn8pe3mqOw9Ch3UW2RXBg,UCkSn8pe3mqOw9Ch3UW2RXBg,60000,694
Brotherhood,https://vling.net/channel/UCvb6BSXZT111ViDj84in9XA,UCvb6BSXZT111ViDj84in9XA,53300,832
피안가는길 (the way to nirvana),https://vling.net/channel/UCipqVC1m5yUnltS6kJxa9SQ,UCipqVC1m5yUnltS6kJxa9SQ,20500,3119
소종섭의 상식학교,https://vling.net/channel/UCAIKDpvvn7MdwS4hP99763g,UCAIKDpvvn7MdwS4hP99763g,107000,4741
더푸른교회,https://vling.net/channel/UCyBasF9bs6pM7G1fxKluIMA,UCyBasF9bs6pM7G1fxKluIMA,50000,11831
소래눈,https://vling.net/channel/UCVie2L1HIi8177Y9VYMh4Hg,UCVie2L1HIi8177Y9VYMh4Hg,96800,356
시사의품격,https://vling.net/channel/UCv923HGDWMBrnHpC-dkQ3hQ,UCv923HGDWMBrnHpC-dkQ3hQ,211000,10682
국가유산청 Korea Heritage Service,https://vling.net/channel/UCxWZbyZ-UhohFp3BYNh2d7Q,UCxWZbyZ-UhohFp3BYNh2d7Q,57800,3903
가양제일감리교회,https://vling.net/channel/UCulPhWtT5bXqf93rByMJgIw,UCulPhWtT5bXqf93rByMJgIw,29200,237
묵상코치,https://vling.net/channel/UCkQ3ZTwqQhKn9-Cfvpd4FqQ,UCkQ3ZTwqQhKn9-Cfvpd4FqQ,15300,1171
Talisman /엘리사네 별장타로,https://vling.net/channel/UChyW1smH43x4xjLQBQiqRew,UChyW1smH43x4xjLQBQiqRew,13500,11471
빨대포스트,https://vling.net/channel/UCpeD0mJAezRBRPieCBzV-Kg,UCpeD0mJAezRBRPieCBzV-Kg,295000,56728
인생튜브,https://vling.net/channel/UCj_KDKEDgnXkeh0KlNpSL8A,UCj_KDKEDgnXkeh0KlNpSL8A,140000,58015
한빛감리교회,https://vling.net/channel/UC5rJi-E3aMkb46vVHJArvYg,UC5rJi-E3aMkb46vVHJArvYg,16100,7452
이소연TV,https://vling.net/channel/UCzbKzE-cQKgeC0sZLylcWkA,UCzbKzE-cQKgeC0sZLylcWkA,71000,16543
주님의 손길,https://vling.net/channel/UCb3pCq_7N3QFwk1mzXnGTFg,UCb3pCq_7N3QFwk1mzXnGTFg,39400,1274
군단의심장,https://vling.net/channel/UCMvaAtYYCwCoHAA39VnigRw,UCMvaAtYYCwCoHAA39VnigRw,73300,7979
일요서울TV,https://vling.net/channel/UCchCbWi1Mvibb6ddcZrrOHQ,UCchCbWi1Mvibb6ddcZrrOHQ,588000,52089
두레김진홍,https://vling.net/channel/UCeqd4-XcxdxES08-5Im8oZg,UCeqd4-XcxdxES08-5Im8oZg,237000,47625
KoryoTV,https://vling.net/channel/UCgMcsFexb6AWhkr7HzXUrCQ,UCgMcsFexb6AWhkr7HzXUrCQ,14800,4921
뉴스피릿 탐사추적,https://vling.net/channel/UCClJnXy1t1jmGIwgZkBvDGg,UCClJnXy1t1jmGIwgZkBvDGg,38200,1288
"Go&Come, Church of God",https://vling.net/channel/UCFx5krpZE3Bk4JMP2xfgJoA,UCFx5krpZE3Bk4JMP2xfgJoA,63800,6712
전등사 TV,https://vling.net/channel/UCXzmwy-Zt-8DaIfN29jPOVg,UCXzmwy-Zt-8DaIfN29jPOVg,57600,2221
민병덕TV,https://vling.net/channel/UCIOhLDkpNcQyHsHSBwd5y_Q,UCIOhLDkpNcQyHsHSBwd5y_Q,14300,1350
K-VIBE,https://vling.net/channel/UCerAzgrPETJVqX1XZQRaXvw,UCerAzgrPETJVqX1XZQRaXvw,10900,6391
사랑의교회,https://vling.net/channel/UCceXHeKTEwpcA7MmDvScXNQ,UCceXHeKTEwpcA7MmDvScXNQ,265000,34347
에필로그 찬양 선교단,https://vling.net/channel/UCC5rO_gtKq6RjawahnDhhTA,UCC5rO_gtKq6RjawahnDhhTA,10000,1189
사선하이킥tv,https://vling.net/channel/UC6ELAautipgIhZkMKaQrFxg,UC6ELAautipgIhZkMKaQrFxg,29200,11480
감동오디오북,https://vling.net/channel/UCPC5_FI75PAxTodlXWF5eNw,UCPC5_FI75PAxTodlXWF5eNw,31600,8126
노영희티비(영친이들),https://vling.net/channel/UCfOOXJ19YkLbegZIepsIR6g,UCfOOXJ19YkLbegZIepsIR6g,253000,45425
발견,https://vling.net/channel/UCmTlIBDbE9FvcAzthJzPnAA,UCmTlIBDbE9FvcAzthJzPnAA,12000,6148
정승기 작가의 [아는척],https://vling.net/channel/UC5kpAktK58a_NWZJqNK28mA,UC5kpAktK58a_NWZJqNK28mA,24000,136
한동훈삼촌tv,https://vling.net/channel/UCbcXQcXLty2rzrv2fUR_mzg,UCbcXQcXLty2rzrv2fUR_mzg,150000,253310
보수미,https://vling.net/channel/UCquq5sz9cHmSNIShEBVK4MA,UCquq5sz9cHmSNIShEBVK4MA,27300,49368
저널리스트,https://vling.net/channel/UCG_Gth20Rt4pgoVxVjWsSqg,UCG_Gth20Rt4pgoVxVjWsSqg,260000,48647
기도명언,https://vling.net/channel/UCx1k4PW-NXZU0pG2LAUKlUg,UCx1k4PW-NXZU0pG2LAUKlUg,20500,9335
한시간야담,https://vling.net/channel/UCl6pOT9s-CKnCY3rKNxH9qw,UCl6pOT9s-CKnCY3rKNxH9qw,18600,17134
Ho-line,https://vling.net/channel/UCGz8SXbeMFrDE-gSuXjBXNw,UCGz8SXbeMFrDE-gSuXjBXNw,16200,581
장변호,https://vling.net/channel/UCU2qJERAoxY1emjHNspunog,UCU2qJERAoxY1emjHNspunog,35300,111982
두만강감동극장,https://vling.net/channel/UCPCQdsfcvWEf5QuaNQf2S3w,UCPCQdsfcvWEf5QuaNQf2S3w,30200,28371
서정욱TV,https://vling.net/channel/UCNzWZmsJ2QmBss30LeZZTdg,UCNzWZmsJ2QmBss30LeZZTdg,726000,775527
